NO_OF_SAMPLES	23480
FREQUENCY	1200
TIME_STAMP	2024-02-21, 11:03:28.956	92333.18845110
FIRST_SAMPLE	521
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti Gen 5
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Amti Optima BMS400600HF-2K 11052M
FORCE_PLATE_CORNER_POSX_POSY_X	752.812624
FORCE_PLATE_CORNER_POSX_POSY_Y	2047.881365
FORCE_PLATE_CORNER_POSX_POSY_Z	-5.668000
FORCE_PLATE_CORNER_NEGX_POSY_X	1147.055864
FORCE_PLATE_CORNER_NEGX_POSY_Y	2049.567699
FORCE_PLATE_CORNER_NEGX_POSY_Z	-5.169400
FORCE_PLATE_CORNER_NEGX_NEGY_X	1149.590731
FORCE_PLATE_CORNER_NEGX_NEGY_Y	1456.835508
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-4.775300
FORCE_PLATE_CORNER_POSX_NEGY_X	755.347431
FORCE_PLATE_CORNER_POSX_NEGY_Y	1455.149174
FORCE_PLATE_CORNER_POSX_NEGY_Z	-5.273900
FORCE_PLATE_OFFSET_X	0.000000
FORCE_PLATE_OFFSET_Y	0.000000
FORCE_PLATE_OFFSET_Z	0.000000
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
521	0.43333	-0.448685	0.184601	-2.529053	0.210648	-0.191788	0.055569	0.000000	0.000000	0.000000	
522	0.43417	-0.540222	0.097000	-5.424805	-0.011717	-0.264679	0.111122	0.000000	0.000000	0.000000	
523	0.43500	-0.271500	-0.176865	-3.256592	0.001358	-0.044182	0.074097	0.000000	0.000000	0.000000	
524	0.43583	0.266678	0.002660	-4.708984	0.169144	0.117355	0.203911	0.000000	0.000000	0.000000	
525	0.43667	-0.091084	0.184822	-4.704590	0.162819	-0.318878	0.018395	0.000000	0.000000	0.000000	
526	0.43750	0.266220	-0.269775	-2.900269	-0.083447	-0.236191	0.111210	0.000000	0.000000	0.000000	
527	0.43833	-0.180847	0.094303	-3.980225	0.167252	-0.216713	0.074070	0.000000	0.000000	0.000000	
528	0.43917	-0.003402	-0.358658	-3.260132	0.096111	-0.281311	0.111195	0.000000	0.000000	0.000000	
529	0.44000	0.085636	-0.449066	-3.623535	0.319717	-0.031089	0.129730	0.000000	0.000000	0.000000	
530	0.44083	-0.270950	0.004365	-3.979736	0.126312	-0.149567	0.111172	0.000000	0.000000	0.000000	
531	0.44167	0.087349	0.003423	-4.707275	0.080818	-0.100834	0.148254	0.000000	0.000000	0.000000	
532	0.44250	-0.093689	-0.266190	-5.431152	0.045238	-0.248505	0.074020	0.000000	0.000000	0.000000	
533	0.44333	0.265961	0.003831	-6.156982	0.034227	-0.164246	0.111099	0.000000	0.000000	0.000000	
