NO_OF_FRAMES	5823
NO_OF_CAMERAS	30
NO_OF_MARKERS	1
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-02-21, 11:05:44.077	92468.31079140
DATA_INCLUDED	3D
MARKER_NAMES	COM
TRAJECTORY_TYPES	Measured
Frame	Time	COM X	COM Y	COM Z	
328	1.09000	540.338	1528.973	898.608
329	1.09333	540.360	1528.944	898.613
330	1.09667	540.439	1528.902	898.552
331	1.10000	540.445	1528.891	898.588
332	1.10333	540.525	1528.830	898.551
333	1.10667	540.574	1528.790	898.591
334	1.11000	540.577	1528.761	898.568
335	1.11333	540.548	1528.718	898.620
336	1.11667	540.620	1528.701	898.553
337	1.12000	540.595	1528.656	898.553
338	1.12333	540.624	1528.567	898.557
339	1.12667	540.623	1528.546	898.601
340	1.13000	540.614	1528.449	898.600
341	1.13333	540.638	1528.455	898.582
342	1.13667	540.642	1528.396	898.560
343	1.14000	540.671	1528.397	898.619
344	1.14333	540.695	1528.307	898.581
345	1.14667	540.725	1528.240	898.599
346	1.15000	540.723	1528.207	898.548
347	1.15333	540.767	1528.140	898.545
348	1.15667	540.737	1528.146	898.551
349	1.16000	540.800	1528.089	898.528
350	1.16333	540.814	1528.013	898.543
351	1.16667	540.822	1527.958	898.507
352	1.17000	540.860	1527.918	898.515
353	1.17333	540.844	1527.904	898.472
354	1.17667	540.863	1527.887	898.424
355	1.18000	540.838	1527.788	898.507
356	1.18333	540.861	1527.735	898.449
357	1.18667	540.890	1527.746	898.406
358	1.19000	540.878	1527.674	898.404
359	1.19333	540.850	1527.671	898.376
360	1.19667	540.875	1527.611	898.337
361	1.20000	540.854	1527.501	898.336
362	1.20333	540.842	1527.492	898.332
363	1.20667	540.850	1527.428	898.289
364	1.21000	540.844	1527.396	898.299
365	1.21333	540.878	1527.371	898.245
366	1.21667	540.905	1527.320	898.181
367	1.22000	540.903	1527.319	898.173
368	1.22333	540.966	1527.306	898.145
369	1.22667	540.962	1527.269	898.118
370	1.23000	541.043	1527.267	898.042
371	1.23333	541.076	1527.223	898.043
372	1.23667	541.145	1527.241	897.969
373	1.24000	541.213	1527.191	897.949
374	1.24333	541.266	1527.171	897.934
375	1.24667	541.335	1527.162	897.810
376	1.25000	541.330	1527.155	897.833
377	1.25333	541.341	1527.153	897.812
378	1.25667	541.418	1527.100	897.789
379	1.26000	541.431	1527.068	897.749
380	1.26333	541.428	1527.026	897.749
381	1.26667	541.419	1526.981	897.795
382	1.27000	541.393	1526.934	897.733
383	1.27333	541.391	1526.916	897.758
384	1.27667	541.382	1526.869	897.809
385	1.28000	541.439	1526.836	897.779
386	1.28333	541.388	1526.768	897.791
387	1.28667	541.341	1526.761	897.775
388	1.29000	541.309	1526.684	897.791
389	1.29333	541.312	1526.695	897.743
390	1.29667	541.308	1526.657	897.728
391	1.30000	541.347	1526.606	897.680
392	1.30333	541.319	1526.584	897.642
393	1.30667	541.350	1526.557	897.598
394	1.31000	541.355	1526.495	897.574
395	1.31333	541.348	1526.498	897.544
396	1.31667	541.356	1526.439	897.534
397	1.32000	541.297	1526.397	897.528
398	1.32333	541.307	1526.327	897.523
399	1.32667	541.280	1526.349	897.451
400	1.33000	541.221	1526.305	897.458
401	1.33333	541.203	1526.260	897.490
402	1.33667	541.173	1526.211	897.522
403	1.34000	541.117	1526.103	897.507
