NO_OF_SAMPLES	23728
FREQUENCY	1200
TIME_STAMP	2024-02-21, 11:04:31.522	92395.75463480
FIRST_SAMPLE	273
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti Gen 5
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Amti Optima BMS400600HF-2K 11053M
FORCE_PLATE_CORNER_POSX_POSY_X	351.319015
FORCE_PLATE_CORNER_POSX_POSY_Y	1293.870807
FORCE_PLATE_CORNER_POSX_POSY_Z	-4.921500
FORCE_PLATE_CORNER_NEGX_POSY_X	745.392680
FORCE_PLATE_CORNER_NEGX_POSY_Y	1294.939160
FORCE_PLATE_CORNER_NEGX_POSY_Z	-5.059400
FORCE_PLATE_CORNER_NEGX_NEGY_X	747.002602
FORCE_PLATE_CORNER_NEGX_NEGY_Y	701.130629
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-4.356100
FORCE_PLATE_CORNER_POSX_NEGY_X	352.928996
FORCE_PLATE_CORNER_POSX_NEGY_Y	700.062335
FORCE_PLATE_CORNER_POSX_NEGY_Z	-4.218200
FORCE_PLATE_OFFSET_X	0.000000
FORCE_PLATE_OFFSET_Y	0.000000
FORCE_PLATE_OFFSET_Z	0.000000
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
273	0.22667	-1.062805	1.089111	-4.713867	-0.131950	0.032518	0.001063	0.000000	0.000000	0.000000	
274	0.22750	-1.237061	1.451111	-7.254639	-0.191246	0.202209	0.057524	0.000000	0.000000	0.000000	
275	0.22833	-0.613281	1.176392	-6.170654	-0.268738	0.084724	0.001391	0.000000	0.000000	0.000000	
276	0.22917	-0.794037	1.177246	-4.354492	-0.311783	0.007173	0.094128	0.000000	0.000000	0.000000	
277	0.23000	-1.239075	1.360657	-5.802490	-0.275391	-0.078701	0.094452	0.000000	0.000000	0.000000	
278	0.23083	-1.330017	1.181152	-5.437256	-0.180107	0.093014	0.075741	0.000000	0.000000	0.000000	
279	0.23167	-0.792145	1.087769	-6.893799	-0.089081	0.218628	0.038813	0.000000	0.000000	0.000000	
280	0.23250	-1.239258	1.270752	-6.164551	-0.051199	0.061615	0.057278	0.000000	0.000000	0.000000	
281	0.23333	-1.323975	1.812012	-7.619385	-0.116356	-0.046196	0.094860	0.000000	0.000000	0.000000	
282	0.23417	-0.972412	0.998779	-6.165527	0.003097	0.001538	0.057278	0.000000	0.000000	0.000000	
283	0.23500	-1.508423	1.272400	-5.436279	-0.183502	0.051369	0.057112	0.000000	0.000000	0.000000	
284	0.23583	-0.967865	1.449463	-7.983154	-0.147400	-0.067753	0.039057	0.000000	0.000000	0.000000	
285	0.23667	-1.506165	1.362915	-7.251221	0.121513	-0.052837	0.038891	0.000000	0.000000	0.000000	
