NO_OF_FRAMES	5932
NO_OF_CAMERAS	30
NO_OF_MARKERS	1
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-02-21, 11:04:31.522	92395.75463480
DATA_INCLUDED	3D
MARKER_NAMES	COM
TRAJECTORY_TYPES	Measured
Frame	Time	COM X	COM Y	COM Z	
69	0.22667	511.556	1524.745	894.564
70	0.23000	511.512	1524.599	894.542
71	0.23333	511.487	1524.633	894.499
72	0.23667	511.628	1524.385	894.333
73	0.24000	511.642	1524.316	894.226
74	0.24333	511.662	1524.283	894.195
75	0.24667	511.645	1524.233	894.107
76	0.25000	511.661	1524.230	894.015
77	0.25333	511.633	1524.177	893.990
78	0.25667	511.707	1524.092	893.924
79	0.26000	511.674	1524.089	893.823
80	0.26333	511.679	1524.071	893.743
81	0.26667	511.726	1524.049	893.647
82	0.27000	511.795	1524.127	893.542
83	0.27333	511.785	1524.142	893.466
84	0.27667	511.797	1524.073	893.375
85	0.28000	511.806	1524.060	893.260
86	0.28333	511.822	1524.074	893.171
87	0.28667	511.843	1524.015	893.056
88	0.29000	511.841	1524.033	892.984
89	0.29333	511.838	1523.972	892.967
90	0.29667	511.851	1524.007	892.864
91	0.30000	511.860	1523.950	892.840
92	0.30333	511.819	1524.120	892.807
93	0.30667	511.814	1524.145	892.764
94	0.31000	511.872	1524.120	892.680
95	0.31333	511.850	1524.089	892.717
96	0.31667	511.856	1524.144	892.679
97	0.32000	511.836	1524.112	892.658
98	0.32333	511.902	1524.104	892.658
99	0.32667	511.934	1524.121	892.679
100	0.33000	511.936	1524.112	892.661
101	0.33333	511.945	1524.131	892.646
102	0.33667	511.932	1524.095	892.732
103	0.34000	511.959	1524.094	892.716
104	0.34333	511.999	1524.095	892.710
105	0.34667	511.968	1524.099	892.736
106	0.35000	511.937	1524.082	892.754
107	0.35333	511.920	1524.079	892.792
108	0.35667	511.941	1524.069	892.800
109	0.36000	511.887	1524.111	892.833
110	0.36333	511.859	1524.113	892.827
111	0.36667	511.833	1524.096	892.870
112	0.37000	511.820	1524.090	892.921
113	0.37333	511.780	1524.092	892.938
114	0.37667	511.674	1524.069	892.976
115	0.38000	511.668	1524.093	892.948
116	0.38333	511.610	1524.075	893.004
117	0.38667	511.588	1524.134	892.975
118	0.39000	511.526	1524.106	892.946
119	0.39333	511.492	1524.184	892.963
120	0.39667	511.470	1524.175	892.978
121	0.40000	511.400	1524.155	893.011
122	0.40333	511.390	1524.189	892.981
123	0.40667	511.370	1524.185	893.019
124	0.41000	511.300	1524.203	893.005
125	0.41333	511.294	1524.221	892.994
