NO_OF_FRAMES	5870
NO_OF_CAMERAS	30
NO_OF_MARKERS	1
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-02-21, 11:03:28.956	92333.18845110
DATA_INCLUDED	3D
MARKER_NAMES	COM
TRAJECTORY_TYPES	Measured
Frame	Time	COM X	COM Y	COM Z	
131	0.43333	511.560	1532.783	899.212
132	0.43667	511.668	1532.894	899.036
133	0.44000	511.654	1532.886	899.094
134	0.44333	511.688	1532.913	899.107
135	0.44667	511.729	1532.869	899.110
136	0.45000	511.770	1532.926	899.117
137	0.45333	511.757	1532.888	899.159
138	0.45667	511.760	1532.887	899.221
139	0.46000	511.704	1532.890	899.191
140	0.46333	511.764	1532.917	899.207
141	0.46667	511.729	1532.930	899.255
142	0.47000	511.723	1532.928	899.316
143	0.47333	511.665	1532.898	899.273
144	0.47667	511.694	1532.969	899.320
145	0.48000	511.693	1532.984	899.329
146	0.48333	511.610	1532.927	899.334
147	0.48667	511.596	1532.958	899.416
148	0.49000	511.572	1532.955	899.323
149	0.49333	511.492	1532.900	899.300
150	0.49667	511.435	1532.905	899.273
151	0.50000	511.463	1532.945	899.240
152	0.50333	511.378	1532.963	899.354
153	0.50667	511.379	1532.955	899.265
154	0.51000	511.351	1532.948	899.291
155	0.51333	511.293	1532.995	899.284
156	0.51667	511.268	1533.002	899.232
157	0.52000	511.208	1532.981	899.383
158	0.52333	511.160	1533.035	899.422
159	0.52667	511.100	1533.007	899.386
160	0.53000	511.101	1533.045	899.361
161	0.53333	511.043	1533.085	899.508
162	0.53667	511.019	1533.111	899.420
163	0.54000	511.028	1533.136	899.522
164	0.54333	510.989	1533.165	899.545
165	0.54667	510.931	1533.069	899.499
166	0.55000	510.940	1533.115	899.624
167	0.55333	510.927	1533.124	899.622
168	0.55667	510.916	1533.104	899.676
169	0.56000	510.957	1533.188	899.587
170	0.56333	510.926	1533.148	899.608
171	0.56667	511.013	1533.162	899.464
172	0.57000	510.925	1533.120	899.555
173	0.57333	510.932	1533.103	899.561
174	0.57667	510.997	1533.158	899.507
175	0.58000	511.023	1533.111	899.466
