NO_OF_SAMPLES	23728
FREQUENCY	1200
TIME_STAMP	2024-02-21, 11:04:31.522	92395.75463480
FIRST_SAMPLE	273
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti Gen 5
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Amti Optima BMS400600HF-2K 11051M
FORCE_PLATE_CORNER_POSX_POSY_X	345.292211
FORCE_PLATE_CORNER_POSX_POSY_Y	2049.128056
FORCE_PLATE_CORNER_POSX_POSY_Z	-1.250600
FORCE_PLATE_CORNER_NEGX_POSY_X	741.362512
FORCE_PLATE_CORNER_NEGX_POSY_Y	2051.770926
FORCE_PLATE_CORNER_NEGX_POSY_Z	-0.121500
FORCE_PLATE_CORNER_NEGX_NEGY_X	745.330393
FORCE_PLATE_CORNER_NEGX_NEGY_Y	1457.235217
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-0.422700
FORCE_PLATE_CORNER_POSX_NEGY_X	349.260181
FORCE_PLATE_CORNER_POSX_NEGY_Y	1454.592466
FORCE_PLATE_CORNER_POSX_NEGY_Z	-1.551900
FORCE_PLATE_OFFSET_X	0.000000
FORCE_PLATE_OFFSET_Y	0.000000
FORCE_PLATE_OFFSET_Z	0.000000
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
273	0.22667	0.634186	-3.385376	623.312500	-22.519531	-9.951172	-0.464020	15.964980	-36.128798	0.000000	
274	0.22750	0.010402	-3.119019	622.218750	-22.083984	-9.974121	-0.426544	16.029927	-35.492316	0.000000	
275	0.22833	0.099854	-3.028198	621.500000	-21.910156	-9.936523	-0.501282	15.987970	-35.253671	0.000000	
276	0.22917	0.278320	-3.028687	621.500000	-22.087891	-9.823730	-0.519989	15.806485	-35.539647	0.000000	
277	0.23000	0.369019	-2.575806	620.062500	-21.881836	-9.962891	-0.613373	16.067559	-35.289726	0.000000	
278	0.23083	-0.344666	-2.575073	621.156250	-21.526367	-10.129883	-0.538605	16.308107	-34.655318	0.000000	
279	0.23167	-0.163231	-1.754578	620.437500	-22.043945	-10.124023	-0.685577	16.317556	-35.529679	0.000000	
280	0.23250	-0.523529	-2.664551	620.781250	-21.566406	-10.136719	-0.575958	16.328971	-34.740750	0.000000	
281	0.23333	0.014729	-1.759583	617.531250	-21.867188	-9.906250	-0.594513	16.041698	-35.410657	0.000000	
282	0.23417	-0.788574	-1.940796	620.437500	-21.637695	-9.969238	-0.632050	16.068078	-34.874899	0.000000	
283	0.23500	-0.699463	-1.940308	619.687500	-21.725586	-10.001465	-0.613342	16.139530	-35.058938	0.000000	
284	0.23583	-1.323181	-1.667358	619.343750	-21.246094	-10.236816	-0.631958	16.528489	-34.304203	0.000000	
285	0.23667	-0.252869	-1.851562	620.062500	-21.550781	-10.126953	-0.613342	16.332149	-34.755821	0.000000	
286	0.23750	-0.430130	-1.396667	617.156250	-21.522461	-10.206543	-0.629303	16.538021	-34.873601	0.000000	
287	0.23833	-0.519653	-1.487122	617.531250	-21.341797	-10.244629	-0.687958	16.589653	-34.559865	0.000000	
288	0.23917	-0.876038	-1.304810	616.812500	-21.214844	-10.222656	-0.725250	16.573361	-34.394316	0.000000	
289	0.24000	-1.144226	-1.485779	617.875000	-21.609375	-10.266602	-0.648071	16.615985	-34.973700	0.000000	
290	0.24083	-0.965485	-1.487610	619.343750	-21.429688	-10.400879	-0.797638	16.793386	-34.600636	0.000000	
291	0.24167	-1.145020	-1.850220	621.156250	-21.105469	-10.371094	-0.650665	16.696433	-33.977713	0.000000	
292	0.24250	-1.233398	-1.485840	618.250000	-21.251953	-10.447266	-0.778870	16.898125	-34.374368	0.000000	
293	0.24333	-1.052612	-0.945770	619.687500	-21.315430	-10.474609	-0.760254	16.903051	-34.397063	0.000000	
294	0.24417	-1.320801	-1.034668	618.968750	-20.957031	-10.237305	-0.669281	16.539292	-33.857980	0.000000	
295	0.24500	-1.231018	-0.853210	617.875000	-21.006836	-10.518066	-0.704010	17.022968	-33.998521	0.000000	
296	0.24583	-0.694489	-0.676453	620.437500	-21.279297	-10.391113	-0.722839	16.748042	-34.297245	0.000000	
297	0.24667	-0.604370	-0.312943	617.875000	-21.382812	-10.424805	-0.741486	16.872029	-34.607020	0.000000	
298	0.24750	-1.407532	-0.402466	619.343750	-21.111328	-10.523438	-0.704102	16.991271	-34.086609	0.000000	
299	0.24833	-0.871552	-0.314972	620.812500	-21.159180	-10.433105	-0.685486	16.805566	-34.083044	0.000000	
300	0.24917	-0.603668	-0.224335	619.687500	-21.071289	-10.636230	-0.685394	17.163862	-34.003089	0.000000	
301	0.25000	-1.227478	-0.043016	620.812500	-21.167969	-10.658203	-0.722870	17.168152	-34.097201	0.000000	
302	0.25083	-0.602783	-0.044708	620.812500	-21.123047	-10.848633	-0.629425	17.474894	-34.024841	0.000000	
303	0.25167	-0.334976	-0.046122	621.500000	-21.034180	-10.590332	-0.704193	17.039955	-33.844215	0.000000	
304	0.25250	-0.602997	-0.043678	619.687500	-20.990234	-10.742676	-0.704102	17.335634	-33.872289	0.000000	
305	0.25333	-0.424225	-0.045879	621.500000	-20.989258	-10.841797	-0.797699	17.444565	-33.771935	0.000000	
306	0.25417	-0.520203	0.136047	620.437500	-21.172852	-10.881836	-0.666779	17.538972	-34.125680	0.000000	
307	0.25500	-0.511932	0.314987	622.218750	-21.001953	-10.880859	-0.704254	17.487193	-33.753327	0.000000	
308	0.25583	0.379898	0.123589	623.343750	-20.860352	-10.883301	-0.648193	17.459549	-33.465245	0.000000	
309	0.25667	0.291580	0.402802	622.625000	-21.137695	-10.887207	-0.722961	17.485978	-33.949320	0.000000	
310	0.25750	0.104557	0.041281	623.343750	-21.035156	-11.070801	-0.722961	17.760346	-33.745676	0.000000	
