NO_OF_SAMPLES	23728
FREQUENCY	1200
TIME_STAMP	2024-02-21, 11:04:31.522	92395.75463480
FIRST_SAMPLE	273
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti Gen 5
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Amti Optima BMS400600HF-2K 11050M
FORCE_PLATE_CORNER_POSX_POSY_X	342.662692
FORCE_PLATE_CORNER_POSX_POSY_Y	2800.971985
FORCE_PLATE_CORNER_POSX_POSY_Z	0.414000
FORCE_PLATE_CORNER_NEGX_POSY_X	737.247348
FORCE_PLATE_CORNER_NEGX_POSY_Y	2802.518606
FORCE_PLATE_CORNER_NEGX_POSY_Z	2.509500
FORCE_PLATE_CORNER_NEGX_NEGY_X	739.585996
FORCE_PLATE_CORNER_NEGX_NEGY_Y	2207.801819
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.981000
FORCE_PLATE_CORNER_POSX_NEGY_X	345.001310
FORCE_PLATE_CORNER_POSX_NEGY_Y	2206.255436
FORCE_PLATE_CORNER_POSX_NEGY_Z	-1.114400
FORCE_PLATE_OFFSET_X	0.000000
FORCE_PLATE_OFFSET_Y	0.000000
FORCE_PLATE_OFFSET_Z	0.000000
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
273	0.22667	-0.360077	-0.174911	-1.083923	0.271225	-0.083309	-0.129211	0.000000	0.000000	0.000000	
274	0.22750	-0.809753	-0.348633	-2.529663	-0.124081	-0.098297	-0.036043	0.000000	0.000000	0.000000	
275	0.22833	-0.447815	-0.083992	-3.256348	0.131927	-0.048607	0.001281	0.000000	0.000000	0.000000	
276	0.22917	-0.809753	-0.348633	-2.529663	-0.079681	-0.240837	-0.091602	0.000000	0.000000	0.000000	
277	0.23000	-0.807922	-0.079048	-1.445435	0.133728	-0.171089	-0.036470	0.000000	0.000000	0.000000	
278	0.23083	-0.626953	0.008315	-2.532593	0.084896	-0.234467	0.000996	0.000000	0.000000	0.000000	
279	0.23167	-0.984985	0.102974	-2.894287	-0.141289	-0.140694	0.038176	0.000000	0.000000	0.000000	
280	0.23250	-1.167786	-0.074127	0.003479	0.001898	-0.150620	-0.129639	0.000000	0.000000	0.000000	
281	0.23333	-0.537384	0.007127	-2.170776	-0.358582	-0.195869	-0.073223	0.000000	0.000000	0.000000	
282	0.23417	-0.362717	-0.444427	-0.720093	0.015214	-0.226006	-0.073795	0.000000	0.000000	0.000000	
283	0.23500	-0.722992	-0.619324	-1.442017	0.020502	-0.131561	-0.054991	0.000000	0.000000	0.000000	
284	0.23583	-0.447220	0.095806	-1.447571	-0.094448	-0.229073	-0.092033	0.000000	0.000000	0.000000	
285	0.23667	-0.715515	0.099327	-3.256958	-0.008212	-0.130165	-0.035759	0.000000	0.000000	0.000000	
