NO_OF_SAMPLES	23480
FREQUENCY	1200
TIME_STAMP	2024-02-21, 11:03:28.956	92333.18845110
FIRST_SAMPLE	521
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti Gen 5
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Amti Optima BMS400600HF-2K 11051M
FORCE_PLATE_CORNER_POSX_POSY_X	345.292211
FORCE_PLATE_CORNER_POSX_POSY_Y	2049.128056
FORCE_PLATE_CORNER_POSX_POSY_Z	-1.250600
FORCE_PLATE_CORNER_NEGX_POSY_X	741.362512
FORCE_PLATE_CORNER_NEGX_POSY_Y	2051.770926
FORCE_PLATE_CORNER_NEGX_POSY_Z	-0.121500
FORCE_PLATE_CORNER_NEGX_NEGY_X	745.330393
FORCE_PLATE_CORNER_NEGX_NEGY_Y	1457.235217
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-0.422700
FORCE_PLATE_CORNER_POSX_NEGY_X	349.260181
FORCE_PLATE_CORNER_POSX_NEGY_Y	1454.592466
FORCE_PLATE_CORNER_POSX_NEGY_Z	-1.551900
FORCE_PLATE_OFFSET_X	0.000000
FORCE_PLATE_OFFSET_Y	0.000000
FORCE_PLATE_OFFSET_Z	0.000000
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
521	0.43333	2.467407	-1.656799	645.000000	-18.042969	-6.611816	0.292511	10.250878	-27.973595	0.000000	
522	0.43417	2.556763	-1.657837	645.718750	-18.085938	-6.502197	0.255096	10.069705	-28.009002	0.000000	
523	0.43500	2.199219	-1.654236	643.187500	-18.042969	-6.445068	0.255341	10.020512	-28.052424	0.000000	
524	0.43583	2.378052	-1.656616	645.000000	-17.998047	-6.650391	0.292511	10.310683	-27.903949	0.000000	
525	0.43667	2.289429	-1.383545	643.187500	-18.008789	-6.406494	0.292679	9.960539	-27.999283	0.000000	
526	0.43750	2.565796	-1.205078	644.625000	-18.058594	-6.218506	0.255188	9.646703	-28.014107	0.000000	
527	0.43833	2.556885	-1.566406	644.625000	-18.091797	-6.360352	0.255203	9.866747	-28.065615	0.000000	
528	0.43917	2.555786	-1.646240	641.718750	-18.222656	-6.326904	0.199501	9.859310	-28.396640	0.000000	
529	0.44000	2.558472	-1.106812	644.250000	-18.241211	-6.396484	0.199257	9.928575	-28.313870	0.000000	
530	0.44083	2.377686	-1.555054	641.343750	-18.359375	-6.404297	0.218216	9.985748	-28.626419	0.000000	
531	0.44167	2.377808	-1.647949	643.875000	-18.401367	-6.118896	0.199295	9.503237	-28.579099	0.000000	
532	0.44250	2.288574	-1.647705	643.875000	-18.266602	-6.370361	0.161957	9.893786	-28.369795	0.000000	
533	0.44333	2.288330	-1.646667	642.812500	-18.311523	-6.193848	0.274048	9.635543	-28.486570	0.000000	
534	0.44417	2.564453	-1.566772	645.000000	-18.270508	-6.076416	0.159149	9.420800	-28.326369	0.000000	
535	0.44500	2.553589	-2.379028	644.250000	-18.107422	-6.254395	0.236572	9.708024	-28.106204	0.000000	
536	0.44583	2.473877	-1.835999	643.531250	-18.215820	-6.115723	0.140640	9.503381	-28.306038	0.000000	
537	0.44667	2.473389	-2.009888	644.250000	-18.433594	-6.009033	0.103241	9.327176	-28.612485	0.000000	
538	0.44750	2.204346	-2.187256	641.718750	-18.294922	-6.055420	0.103493	9.436252	-28.509252	0.000000	
539	0.44833	2.286011	-2.187500	641.718750	-18.338867	-6.123535	0.162163	9.542397	-28.577733	0.000000	
540	0.44917	2.197632	-2.098755	643.531250	-18.518555	-6.125244	0.106010	9.518177	-28.776465	0.000000	
541	0.45000	1.845581	-2.828735	644.250000	-18.314453	-6.031494	0.121906	9.362040	-28.427556	0.000000	
542	0.45083	1.668579	-2.367920	643.156250	-18.375977	-5.931885	-0.027296	9.223085	-28.571559	0.000000	
543	0.45167	1.758850	-2.005371	641.718750	-18.344727	-6.000488	0.066166	9.350651	-28.586864	0.000000	
544	0.45250	1.758362	-2.286133	643.875000	-18.290039	-5.893066	0.065948	9.152501	-28.406195	0.000000	
545	0.45333	1.755981	-2.735229	641.343750	-18.320312	-5.823486	0.084869	9.080133	-28.565512	0.000000	
546	0.45417	2.113770	-2.456909	640.625000	-18.374023	-5.739990	0.047615	8.959985	-28.681402	0.000000	
547	0.45500	1.668518	-2.283325	641.343750	-18.335938	-5.790771	0.084869	9.029123	-28.589875	0.000000	
548	0.45583	1.579163	-2.366943	642.468750	-18.421875	-5.829102	0.066093	9.072973	-28.673574	0.000000	
549	0.45667	1.578186	-2.645508	642.468750	-18.367188	-5.829346	-0.008562	9.073353	-28.588453	0.000000	
550	0.45750	1.309937	-2.734253	641.718750	-18.321289	-5.697021	0.047499	8.877754	-28.550341	0.000000	
551	0.45833	1.667297	-2.645386	642.062500	-18.323242	-5.755127	0.103458	8.963500	-28.538097	0.000000	
552	0.45917	1.487610	-3.006836	642.812500	-18.309570	-5.689697	0.084721	8.851255	-28.483532	0.000000	
553	0.46000	1.400574	-2.465454	643.531250	-18.240234	-5.586182	0.047318	8.680513	-28.343976	0.000000	
554	0.46083	1.131470	-2.733887	641.718750	-18.321289	-5.703369	0.047499	8.887646	-28.550341	0.000000	
555	0.46167	0.953339	-2.734863	643.156250	-18.365234	-5.531250	0.103344	8.600165	-28.554856	0.000000	
556	0.46250	1.221863	-2.463867	642.468750	-18.108398	-5.558105	0.028765	8.651169	-28.185649	0.000000	
557	0.46333	1.309326	-2.724243	639.187500	-18.500977	-5.449707	0.010429	8.525991	-28.944522	0.000000	
558	0.46417	0.954681	-2.189941	640.281250	-18.207031	-5.391113	-0.029685	8.419914	-28.435990	0.000000	
559	0.46500	0.953644	-2.460815	640.281250	-18.242188	-5.284668	-0.029685	8.253667	-28.490898	0.000000	
560	0.46583	0.953918	-2.461914	641.343750	-18.197266	-5.426025	-0.067123	8.460401	-28.373654	0.000000	
561	0.46667	0.419113	-2.279541	641.000000	-18.381836	-5.445312	0.007566	8.495027	-28.676811	0.000000	
562	0.46750	0.597046	-2.461426	641.718750	-18.420898	-5.332031	-0.011176	8.308985	-28.705564	0.000000	
563	0.46833	0.953979	-2.370605	640.281250	-18.333984	-5.284668	-0.067013	8.253667	-28.634267	0.000000	
564	0.46917	0.327545	-2.820190	639.875000	-18.051758	-5.271729	0.026343	8.238685	-28.211382	0.000000	
565	0.47000	0.685272	-2.732666	641.718750	-18.277344	-5.222656	-0.011175	8.138544	-28.481860	0.000000	
566	0.47083	0.152176	-2.006714	639.906250	-18.348633	-5.171631	0.007677	8.081857	-28.673939	0.000000	
567	0.47167	0.331406	-1.735107	638.812500	-18.135742	-5.023682	0.026455	7.864094	-28.389774	0.000000	
568	0.47250	0.248894	-2.006958	639.906250	-18.214844	-4.919678	-0.104294	7.688123	-28.464863	0.000000	
569	0.47333	-0.284775	-1.645691	641.343750	-18.048828	-5.009033	-0.067116	7.810216	-28.142206	0.000000	
570	0.47417	-0.830444	-2.275024	639.875000	-17.849609	-5.277344	-0.029640	8.247460	-27.895463	0.000000	
571	0.47500	-0.732361	-1.822144	638.468750	-18.177734	-4.920166	-0.066814	7.706197	-28.470829	0.000000	
572	0.47583	-0.644684	-2.274780	639.187500	-18.117188	-4.880859	-0.088234	7.636037	-28.344089	0.000000	
573	0.47667	-0.732178	-1.822937	639.187500	-17.821289	-4.954834	-0.069565	7.751769	-27.881160	0.000000	
574	0.47750	-0.286194	-1.823364	638.468750	-18.267578	-4.762207	-0.032164	7.458794	-28.611546	0.000000	
575	0.47833	-0.909363	-1.460754	638.812500	-18.056641	-4.997559	-0.066853	7.823201	-28.265948	0.000000	
576	0.47917	-0.462036	-1.283081	640.625000	-18.240234	-4.945068	-0.085705	7.719131	-28.472561	0.000000	
577	0.48000	-0.464676	-1.822815	638.468750	-17.821289	-4.874756	-0.050821	7.635074	-27.912547	0.000000	
578	0.48083	-1.178223	-1.822021	639.531250	-18.132812	-4.828857	-0.032282	7.550620	-28.353286	0.000000	
579	0.48167	-1.086731	-1.097778	637.718750	-18.114258	-4.720459	-0.088066	7.402102	-28.404775	0.000000	
580	0.48250	-1.712891	-1.640320	639.875000	-18.096680	-4.740967	0.005002	7.409208	-28.281586	0.000000	
581	0.48333	-0.999023	-1.642212	639.906250	-18.051758	-4.715576	-0.181602	7.369167	-28.210004	0.000000	
582	0.48417	-1.712158	-1.368225	638.812500	-18.106445	-4.671143	-0.106842	7.312228	-28.343912	0.000000	
583	0.48500	-1.890503	-1.276306	637.718750	-18.065430	-4.713623	-0.013425	7.391382	-28.328208	0.000000	
584	0.48583	-1.711304	-1.187927	639.187500	-18.024414	-4.493408	-0.088223	7.029875	-28.198946	0.000000	
585	0.48667	-2.245605	-0.824432	638.468750	-18.258789	-4.654785	-0.050827	7.290545	-28.597780	0.000000	
586	0.48750	-1.800537	-1.188110	639.531250	-17.979492	-4.815430	-0.050941	7.529624	-28.113548	0.000000	
587	0.48833	-2.424805	-1.004639	638.468750	-18.030273	-4.483887	-0.125458	7.022876	-28.239868	0.000000	
588	0.48917	-2.156372	-0.916473	639.906250	-17.855469	-4.650635	-0.069637	7.267681	-27.903257	0.000000	
589	0.49000	-2.069092	-1.458679	639.875000	-17.703125	-4.612061	-0.125595	7.207752	-27.666536	0.000000	
590	0.49083	-2.155396	-0.645111	639.531250	-17.865234	-4.438232	0.005038	6.939821	-27.934889	0.000000	
591	0.49167	-2.424072	-0.823944	638.468750	-17.948242	-4.519287	-0.106796	7.078322	-28.111387	0.000000	
592	0.49250	-1.799255	-0.734589	637.718750	-17.995117	-4.532959	-0.013424	7.108085	-28.217952	0.000000	
593	0.49333	-2.423828	-0.641449	636.656250	-17.688477	-4.413818	-0.031961	6.932812	-27.783402	0.000000	
594	0.49417	-2.513306	-0.739349	637.000000	-17.684570	-4.310547	-0.034666	6.766950	-27.762277	0.000000	
595	0.49500	-2.065308	-0.381119	638.812500	-17.652344	-4.258057	-0.053526	6.665581	-27.633059	0.000000	
596	0.49583	-2.333496	-0.462494	638.093750	-17.872070	-4.339111	0.021186	6.800116	-28.008534	0.000000	
597	0.49667	-2.869507	-0.642090	638.468750	-18.044922	-4.180420	0.002483	6.547572	-28.262811	0.000000	
598	0.49750	-2.780640	-0.732269	638.093750	-17.773438	-4.248291	-0.090759	6.657785	-27.853960	0.000000	
599	0.49833	-2.870239	-0.822357	638.093750	-17.860352	-4.215820	-0.109421	6.606898	-27.990168	0.000000	
