NO_OF_SAMPLES	23292
FREQUENCY	1200
TIME_STAMP	2024-02-21, 11:05:44.077	92468.31079140
FIRST_SAMPLE	709
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti Gen 5
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Amti Optima BMS400600HF-2K 11052M
FORCE_PLATE_CORNER_POSX_POSY_X	752.812624
FORCE_PLATE_CORNER_POSX_POSY_Y	2047.881365
FORCE_PLATE_CORNER_POSX_POSY_Z	-5.668000
FORCE_PLATE_CORNER_NEGX_POSY_X	1147.055864
FORCE_PLATE_CORNER_NEGX_POSY_Y	2049.567699
FORCE_PLATE_CORNER_NEGX_POSY_Z	-5.169400
FORCE_PLATE_CORNER_NEGX_NEGY_X	1149.590731
FORCE_PLATE_CORNER_NEGX_NEGY_Y	1456.835508
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-4.775300
FORCE_PLATE_CORNER_POSX_NEGY_X	755.347431
FORCE_PLATE_CORNER_POSX_NEGY_Y	1455.149174
FORCE_PLATE_CORNER_POSX_NEGY_Z	-5.273900
FORCE_PLATE_OFFSET_X	0.000000
FORCE_PLATE_OFFSET_Y	0.000000
FORCE_PLATE_OFFSET_Z	0.000000
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
709	0.59000	0.265961	-0.178276	-4.347900	-0.133217	-0.270844	0.203911	0.000000	0.000000	0.000000	
710	0.59083	-0.095036	-0.537140	-5.432373	0.143333	-0.107670	0.055471	0.000000	0.000000	0.000000	
711	0.59167	-0.181648	0.004569	-4.704590	0.169327	-0.146011	0.018395	0.000000	0.000000	0.000000	
712	0.59250	0.177383	0.184563	-5.793213	0.072571	-0.202774	0.185326	0.000000	0.000000	0.000000	
713	0.59333	0.089779	0.454727	-4.342773	-0.023170	0.040506	0.166817	0.000000	0.000000	0.000000	
714	0.59417	0.176033	-0.086399	-5.794678	-0.094524	-0.203033	0.129662	0.000000	0.000000	0.000000	
715	0.59500	0.354645	-0.268097	-5.435303	-0.043343	-0.408295	0.203880	0.000000	0.000000	0.000000	
716	0.59583	0.178368	0.274002	-4.706787	0.115273	-0.097290	0.166801	0.000000	0.000000	0.000000	
717	0.59667	-0.003037	-0.177124	-4.345459	0.220505	-0.069160	0.018406	0.000000	0.000000	0.000000	
718	0.59750	-0.002231	-0.087395	-3.620728	0.041632	-0.245674	0.166824	0.000000	0.000000	0.000000	
719	0.59833	-0.002588	-0.086807	-4.344727	0.084667	-0.069080	0.185371	0.000000	0.000000	0.000000	
720	0.59917	0.266052	-0.087368	-5.071289	-0.004996	-0.235260	0.203888	0.000000	0.000000	0.000000	
721	0.60000	-0.091270	0.003016	-3.257446	-0.005184	-0.072685	0.092648	0.000000	0.000000	0.000000	
